school_name,year,first_down,first_down_pass,first_down_penalty,first_down_rush,fumbles_lost,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,penalty,penalty_yds,points,rush_att,rush_td,rush_yds,rush_yds_per_att,tot_plays,tot_yds,tot_yds_per_play,turnovers,opp_first_down,opp_first_down_pass,opp_first_down_penalty,opp_first_down_rush,opp_fumbles_lost,opp_pass_att,opp_pass_cmp,opp_pass_cmp_pct,opp_pass_int,opp_pass_td,opp_pass_yds,opp_penalty,opp_penalty_yds,opp_points,opp_rush_att,opp_rush_td,opp_rush_yds,opp_rush_yds_per_att,opp_tot_plays,opp_tot_yds,opp_tot_yds_per_play,opp_turnovers,fg_pct,fga,fgm,kick_points,kick_ret,kick_ret_td,kick_ret_yds,kick_ret_yds_per_ret,punt,punt_ret,punt_ret_td,punt_ret_yds,punt_ret_yds_per_ret,punt_yds,punt_yds_per_punt,xp_pct,xpa,xpm,Unnamed: 0,conf_abbr,losses,losses_conf,notes,opp_points_per_g,points_per_g,rank_final,rank_min,rank_pre,sos,srs,win_loss_pct,win_loss_pct_conf,wins,wins_conf
Miami (OH),2002,22.5,13.2,1.3,8.0,0.6,37.2,23.2,62.3,1.1,2.1,277.6,5.6,50.8,32.0,37.6,1.9,127.7,3.4,74.8,405.3,5.4,1.7,21.3,11.8,2.1,7.4,1.2,35.3,20.9,59.2,1.1,1.8,273.0,6.8,63.8,27.1,32.8,1.7,139.7,4.3,68.1,412.7,6.1,2.3,100.0,1.2,1.2,7.2,3.9,0.0,77.3,19.7,4.4,2.4,0.0,17.1,7.1,179.0,40.5,95.7,3.8,3.7,58.0,MAC (East),5.0,3.0,,27.1,32.0,,,,-2.44,0.23,0.583,0.625,7.0,5.0
Oregon State,2002,20.4,11.2,1.7,7.5,0.8,36.0,17.0,47.2,1.1,2.0,262.6,9.7,100.2,31.8,38.6,1.6,148.7,3.9,74.6,411.3,5.5,1.9,18.0,8.7,3.8,5.5,1.0,35.1,17.1,48.7,1.5,0.8,199.3,7.7,63.3,20.5,36.8,1.0,94.2,2.6,71.9,293.5,4.1,2.5,80.0,1.5,1.2,7.5,3.1,0.0,66.6,21.7,5.9,3.8,0.0,31.5,8.2,232.0,39.2,98.0,3.9,3.8,81.0,Pac-10,5.0,4.0,,20.5,31.8,,23.0,,2.6,9.45,0.615,0.5,8.0,4.0
Northern Illinois,2002,18.7,7.4,1.3,9.9,1.1,22.1,11.3,50.9,0.6,1.3,175.4,5.2,50.5,31.3,45.1,2.0,200.8,4.5,67.2,376.2,5.6,1.7,19.2,11.0,1.6,6.6,0.6,35.7,20.3,56.8,1.8,1.4,254.9,6.3,58.2,24.8,37.3,1.4,131.8,3.5,72.9,386.8,5.3,2.3,72.0,2.1,1.5,7.9,3.5,0.1,76.8,21.9,5.4,2.2,0.3,43.8,20.2,203.6,37.6,95.3,3.6,3.4,63.0,MAC (West),4.0,1.0,,24.8,31.3,,,,-4.75,-0.42,0.667,0.875,8.0,7.0
Connecticut,2002,19.3,9.8,1.8,7.7,0.7,32.7,19.3,59.2,1.0,1.8,222.6,6.3,49.9,31.1,37.5,1.8,136.6,3.6,70.2,359.2,5.1,1.7,16.3,6.8,1.6,7.9,1.0,26.8,13.5,50.3,1.7,1.2,160.4,5.9,53.8,22.5,38.3,1.5,155.7,4.1,65.1,316.1,4.9,2.7,70.6,1.4,1.0,6.9,2.5,0.0,47.7,19.1,6.6,3.2,0.2,22.9,7.2,255.3,38.8,97.9,4.0,3.9,52.0,Ind,6.0,0.0,,22.5,31.1,,,,-5.0,-0.75,0.5,,6.0,0.0
South Florida,2002,19.5,10.8,1.4,7.3,0.9,38.8,21.9,56.4,0.5,1.8,252.0,11.6,97.8,30.8,36.6,1.5,134.6,3.7,75.5,386.6,5.1,1.4,18.8,10.4,2.2,6.3,1.3,36.4,19.1,52.5,2.0,1.5,221.7,7.3,60.4,18.5,38.2,0.7,87.2,2.3,74.5,308.9,4.1,3.3,76.2,1.9,1.5,7.5,2.6,0.1,59.2,22.4,6.9,3.1,0.2,49.1,15.9,276.6,40.0,87.5,3.6,3.2,50.0,Ind,2.0,0.0,,18.5,30.8,,,,-2.71,7.11,0.818,,9.0,0.0
Florida State,2002,21.4,9.3,1.9,10.2,0.8,29.9,15.5,51.8,0.7,1.9,211.1,7.8,66.8,30.6,40.1,1.4,187.0,4.7,70.1,398.1,5.7,1.5,18.1,9.9,1.3,7.0,1.1,33.2,17.8,53.5,1.1,1.5,235.2,7.4,64.3,21.5,35.5,0.9,130.8,3.7,68.7,366.0,5.3,2.3,67.9,2.0,1.4,7.7,3.1,0.1,65.8,21.4,5.4,3.2,0.0,34.1,10.6,209.4,38.6,100.0,3.6,3.6,0.0,ACC,5.0,1.0,,21.5,30.6,21.0,3.0,3.0,7.15,14.86,0.643,0.875,9.0,7.0
Virginia Tech,2002,19.6,7.1,1.9,10.6,1.3,19.4,12.0,61.8,0.8,1.0,159.2,6.3,53.1,30.6,47.1,2.5,212.4,4.5,66.5,371.6,5.6,2.1,16.4,8.5,1.4,6.5,0.9,31.6,16.4,51.9,1.7,1.0,213.6,7.5,64.4,18.8,35.4,1.4,121.4,3.4,67.0,335.1,5.0,2.6,52.2,1.6,0.9,6.2,2.4,0.0,48.4,20.5,4.7,2.9,0.2,40.9,14.0,185.1,39.3,96.2,3.8,3.6,24.0,Big East,4.0,4.0,,18.8,30.6,18.0,3.0,16.0,2.31,11.16,0.7140000000000001,0.429,10.0,3.0
Washington,2002,24.9,15.9,3.0,6.0,1.0,47.8,28.6,59.9,1.1,2.2,346.2,6.1,52.8,30.6,34.9,1.2,74.5,2.1,82.7,420.7,5.1,2.1,18.2,10.8,1.7,5.8,0.9,34.3,19.2,55.8,1.2,1.8,259.5,8.7,75.7,26.3,34.4,1.2,97.7,2.8,68.7,357.2,5.2,2.2,64.7,2.6,1.7,8.3,3.0,0.0,55.8,18.6,4.5,1.5,0.0,11.4,7.4,170.0,38.1,95.5,3.4,3.2,84.0,Pac-10,6.0,4.0,,26.3,30.6,,9.0,9.0,4.75,8.36,0.5379999999999999,0.5,7.0,4.0
West Virginia,2002,21.6,5.8,2.1,13.7,0.5,21.5,11.4,53.0,0.7,0.8,134.8,7.1,64.5,30.5,54.9,3.0,283.6,5.2,76.4,418.5,5.5,1.2,17.3,9.5,1.7,6.2,1.2,32.0,17.7,55.3,1.5,1.3,213.6,6.6,56.7,23.2,34.8,1.5,121.8,3.5,66.8,335.5,5.0,2.6,68.8,1.2,0.8,6.2,3.2,0.0,63.3,20.1,5.5,2.6,0.0,18.4,7.0,199.5,36.5,92.2,3.9,3.6,22.0,Big East,4.0,1.0,,23.2,30.5,25.0,15.0,,2.3,7.3,0.6920000000000001,0.857,9.0,6.0
Boston College,2002,20.5,10.9,1.8,7.8,0.5,31.8,18.7,58.7,1.3,1.4,231.6,6.2,54.5,30.2,37.8,1.9,159.1,4.2,69.7,390.7,5.6,1.8,18.3,7.5,1.6,9.2,1.3,28.7,15.5,53.9,1.2,0.9,172.1,7.8,63.4,19.5,42.3,1.3,167.4,4.0,71.0,339.5,4.8,2.5,72.7,2.5,1.8,8.6,3.5,0.0,67.9,19.2,4.3,2.7,0.1,26.5,9.9,160.1,37.2,93.0,3.3,3.1,25.0,Big East,4.0,4.0,,19.5,30.2,,,,0.53,9.22,0.6920000000000001,0.429,9.0,3.0
Texas Christian,2002,18.0,7.0,1.0,10.0,1.2,24.7,14.3,57.8,1.1,1.0,166.9,7.9,67.4,30.1,49.1,1.9,203.2,4.1,73.8,370.1,5.0,2.3,13.3,7.4,2.1,3.8,1.7,33.8,13.2,38.9,1.8,1.3,175.4,7.2,51.1,18.5,32.8,0.8,64.8,2.0,66.6,240.3,3.6,3.5,76.7,2.5,1.9,8.8,2.7,0.1,61.8,23.2,6.7,4.1,0.2,36.9,9.0,258.2,38.7,94.7,3.2,3.0,40.0,CUSA,2.0,2.0,,18.5,30.1,23.0,22.0,,-4.93,5.9,0.833,0.75,10.0,6.0
Missouri,2002,19.9,9.1,1.8,9.1,0.4,31.7,17.0,53.7,0.6,1.4,203.2,6.8,53.1,30.0,41.2,2.3,183.7,4.5,72.8,386.8,5.3,1.0,23.6,12.4,1.8,9.4,1.0,35.5,21.1,59.4,1.0,1.6,282.6,6.8,56.3,29.3,42.6,1.8,167.8,3.9,78.1,450.3,5.8,2.0,60.0,1.3,0.8,5.8,4.0,0.0,83.6,20.9,5.6,2.3,0.1,29.4,13.1,237.0,42.4,93.5,3.8,3.6,13.0,Big 12 (North),7.0,6.0,,29.3,30.0,,,,3.77,3.69,0.41700000000000004,0.25,5.0,2.0
Colorado State,2002,20.2,8.4,1.1,10.8,1.1,25.1,13.1,52.4,0.9,1.1,182.9,3.7,34.5,29.9,44.4,2.3,205.7,4.6,69.5,388.6,5.6,1.9,20.0,9.9,1.1,9.0,1.1,31.7,18.5,58.3,1.0,1.1,205.8,4.7,37.2,23.7,38.8,1.8,167.6,4.3,70.5,373.4,5.3,2.1,75.0,2.3,1.7,8.0,2.6,0.0,52.7,19.9,3.9,2.6,0.1,40.9,15.9,152.5,39.5,90.9,3.1,2.9,70.0,MWC,4.0,1.0,,23.7,29.9,,16.0,,-0.29,5.42,0.7140000000000001,0.857,10.0,6.0
Auburn,2002,19.1,8.1,1.1,9.9,1.0,23.0,13.4,58.2,0.8,1.4,183.8,8.3,58.0,29.8,43.3,2.5,203.7,4.7,66.3,387.5,5.8,1.8,17.7,8.9,1.4,7.4,0.8,32.7,18.1,55.3,1.6,0.7,186.5,8.3,66.5,17.8,35.9,1.3,141.7,3.9,68.6,328.2,4.8,2.5,38.9,1.4,0.5,5.2,2.7,0.0,47.8,17.8,4.3,3.7,0.0,40.8,11.0,180.8,42.0,100.0,3.6,3.6,96.0,SEC (West),4.0,3.0,,17.8,29.8,14.0,14.0,,3.98,12.36,0.6920000000000001,0.625,9.0,5.0
UCLA,2002,18.2,9.5,1.5,7.2,0.9,28.2,15.7,55.6,0.8,1.5,229.6,6.0,58.2,29.8,39.9,1.5,127.5,3.2,68.2,357.2,5.2,1.8,18.3,9.1,1.8,7.5,0.6,33.2,16.7,50.2,1.3,1.5,228.2,5.9,50.9,25.1,36.6,1.2,129.5,3.5,69.8,357.8,5.1,1.9,74.1,2.1,1.5,7.9,3.5,0.0,76.2,21.5,5.7,3.3,0.2,45.3,13.7,232.4,40.8,95.6,3.5,3.3,82.0,Pac-10,5.0,4.0,,25.1,29.8,,20.0,,5.74,8.97,0.615,0.5,8.0,4.0
Purdue,2002,23.2,11.6,1.1,10.5,1.5,34.8,20.8,60.0,1.2,1.6,255.7,5.6,46.0,29.7,44.8,2.0,196.5,4.4,79.5,452.2,5.7,2.6,15.8,9.0,1.0,5.8,0.7,32.2,15.5,48.2,1.2,1.2,201.0,5.2,40.2,22.2,34.8,0.9,116.2,3.3,67.0,317.2,4.7,1.8,52.6,1.5,0.8,6.0,2.8,0.0,48.5,17.5,5.1,2.5,0.1,22.5,9.2,191.2,37.7,96.0,3.8,3.7,33.0,Big Ten,6.0,4.0,,22.2,29.7,,,,2.44,7.59,0.5379999999999999,0.5,7.0,4.0
Ohio State,2002,17.5,7.6,0.4,9.5,0.7,20.0,12.4,61.8,0.5,1.0,173.2,5.4,40.8,29.3,44.9,2.2,191.3,4.3,64.9,364.5,5.6,1.2,17.4,11.1,1.1,5.1,0.9,39.0,22.5,57.7,1.3,1.0,243.1,4.7,40.1,13.1,29.9,0.4,77.7,2.6,68.9,320.9,4.7,2.1,89.3,2.0,1.8,8.6,2.6,0.0,53.4,20.2,4.4,3.1,0.0,25.6,8.3,192.6,44.2,97.8,3.3,3.2,29.0,Big Ten,0.0,0.0,,13.1,29.3,1.0,1.0,13.0,3.99,18.13,1.0,1.0,14.0,8.0
Cincinnati,2002,20.2,11.1,1.3,7.8,0.8,34.6,18.9,54.4,1.6,1.6,260.6,7.3,62.8,29.2,38.9,1.5,136.9,3.5,73.6,397.5,5.4,2.4,17.7,8.9,1.1,7.7,1.2,30.5,15.7,51.5,1.2,0.9,179.9,6.8,52.0,23.5,38.4,1.6,138.1,3.6,68.9,318.1,4.6,2.4,82.6,1.6,1.4,7.2,3.3,0.0,62.8,19.1,4.9,2.7,0.0,21.3,7.8,180.0,37.1,95.7,3.3,3.1,41.0,CUSA,7.0,2.0,,23.5,29.2,,,,-0.02,2.84,0.5,0.75,7.0,6.0
Iowa State,2002,19.9,10.9,1.6,7.4,0.7,32.4,17.9,55.1,1.3,1.1,236.3,5.1,40.8,28.9,39.6,2.1,145.0,3.7,72.0,381.3,5.3,2.0,20.1,8.6,0.8,10.7,1.2,30.4,17.3,56.8,0.7,1.1,184.3,6.0,46.2,28.3,41.7,2.1,174.6,4.2,72.1,358.9,5.0,1.9,69.2,1.9,1.3,7.1,3.6,0.0,64.6,17.7,5.1,2.9,0.2,30.2,10.6,199.5,39.3,95.8,3.4,3.3,11.0,Big 12 (North),7.0,4.0,,28.3,28.9,,9.0,,5.67,6.17,0.5,0.5,7.0,4.0
Minnesota,2002,20.5,7.5,2.0,11.0,0.8,25.6,13.4,52.3,0.8,1.6,183.4,5.8,44.4,28.9,45.1,1.7,209.8,4.7,70.7,393.2,5.6,1.6,19.2,8.7,1.0,9.5,1.1,28.2,15.6,55.3,0.5,0.9,178.6,6.1,54.5,24.5,41.1,2.2,176.8,4.3,69.3,355.4,5.1,1.6,95.2,1.6,1.5,7.8,3.0,0.0,56.0,18.7,4.6,4.0,0.2,30.9,7.7,175.5,38.0,100.0,3.2,3.2,35.0,Big Ten,5.0,5.0,,24.5,28.9,,23.0,,1.17,5.02,0.615,0.375,8.0,3.0
San Jose State,2002,19.5,11.0,2.0,6.5,1.2,37.2,22.3,60.0,1.3,1.8,263.4,7.5,70.9,28.9,31.5,1.4,112.2,3.6,68.7,375.6,5.5,2.5,24.6,13.5,1.1,10.1,1.2,36.5,21.2,57.9,1.8,2.5,300.5,7.4,69.8,35.9,39.8,1.9,192.9,4.8,76.4,493.4,6.5,2.9,60.0,1.5,0.9,6.0,4.4,0.2,107.3,24.5,4.5,1.8,0.0,20.5,11.1,170.3,38.2,95.5,3.4,3.2,111.0,WAC,7.0,4.0,,35.9,28.9,,,,-3.13,-7.13,0.462,0.5,6.0,4.0
Syracuse,2002,19.6,8.6,1.5,9.5,0.9,27.8,14.5,52.3,1.3,1.0,187.7,5.8,46.8,28.9,44.0,2.5,188.8,4.3,71.8,376.4,5.2,2.2,20.9,11.4,1.7,7.8,1.5,32.0,18.6,58.1,0.8,1.8,303.8,8.7,68.9,33.8,41.4,2.2,171.9,4.2,73.4,475.7,6.5,2.3,55.0,1.7,0.9,5.9,4.5,0.0,93.2,20.7,5.8,2.6,0.2,35.1,13.6,225.6,39.2,92.7,3.4,3.2,26.0,Big East,8.0,5.0,,33.8,28.9,,,,1.45,-4.63,0.33299999999999996,0.28600000000000003,4.0,2.0
Illinois,2002,22.8,13.4,1.0,8.4,0.9,37.8,21.5,56.8,1.3,2.2,282.3,4.9,45.8,28.8,38.4,1.1,164.0,4.3,76.3,446.3,5.9,2.3,21.9,10.8,1.5,9.7,0.9,33.7,18.9,56.2,0.7,1.1,230.3,5.8,46.2,25.6,43.8,1.9,190.2,4.3,77.5,420.5,5.4,1.6,73.7,1.6,1.2,6.8,2.5,0.1,55.3,22.1,4.8,2.0,0.2,23.7,11.8,179.7,37.8,100.0,3.3,3.3,34.0,Big Ten,7.0,4.0,,25.6,28.8,,,,2.89,2.56,0.41700000000000004,0.5,5.0,4.0
Louisville,2002,17.9,10.4,2.1,5.5,1.5,34.7,18.7,53.9,0.8,1.9,226.5,10.3,91.7,28.8,34.8,1.2,106.9,3.1,69.5,333.4,4.8,2.4,18.2,9.6,2.8,5.8,0.5,32.8,15.8,48.0,0.7,1.6,206.9,8.4,69.8,24.5,39.5,1.2,113.0,2.9,72.4,319.9,4.4,1.2,63.2,1.5,0.9,5.8,3.9,0.2,86.2,22.0,6.4,4.2,0.3,55.1,13.3,231.5,36.3,97.6,3.2,3.1,42.0,CUSA,6.0,3.0,,24.5,28.8,,17.0,17.0,-1.93,0.77,0.5379999999999999,0.625,7.0,5.0
Texas A&M,2002,18.7,10.4,1.7,6.6,0.8,35.4,18.3,51.5,1.6,2.1,268.0,7.0,54.5,28.8,35.1,1.3,118.2,3.4,70.5,386.2,5.5,2.3,18.2,9.4,1.2,7.6,1.2,33.4,19.1,57.1,1.3,1.4,207.5,6.1,55.0,23.3,39.0,1.2,130.9,3.4,72.4,338.4,4.7,2.5,54.5,1.8,1.0,6.3,3.0,0.0,59.3,19.8,5.7,2.4,0.1,20.2,8.3,244.3,43.1,92.9,3.5,3.3,19.0,Big 12 (South),6.0,5.0,,23.3,28.8,,19.0,23.0,2.4,6.4,0.5,0.375,6.0,3.0
Virginia,2002,19.6,10.4,1.6,7.5,1.0,32.0,21.9,68.3,0.6,2.3,230.1,4.6,34.6,28.7,34.7,1.1,126.9,3.7,66.7,357.1,5.4,1.6,22.4,10.1,1.0,11.3,1.6,30.9,18.7,60.5,1.1,1.0,215.7,6.6,59.7,24.9,45.7,1.8,208.9,4.6,76.6,424.6,5.5,2.6,66.7,1.3,0.9,5.6,3.5,0.1,77.4,22.1,4.7,2.8,0.1,27.5,9.9,164.2,34.8,89.4,3.4,3.0,2.0,ACC,5.0,2.0,,24.9,28.7,22.0,22.0,,5.1,8.6,0.643,0.75,9.0,6.0
Colorado,2002,18.6,6.6,1.2,10.9,0.8,22.6,11.6,51.6,0.9,1.1,141.7,6.8,59.5,28.4,46.6,2.0,232.8,5.0,69.1,374.5,5.4,1.6,20.3,9.4,2.0,8.9,1.1,32.4,18.1,56.1,1.1,1.1,195.6,5.0,39.1,23.2,39.9,1.8,170.1,4.3,72.2,365.7,5.1,2.1,42.3,1.9,0.8,5.6,2.0,0.0,45.8,22.9,5.1,2.5,0.1,31.1,12.4,240.9,46.8,93.8,3.4,3.2,9.0,Big 12 (North),5.0,1.0,,23.2,28.4,20.0,7.0,7.0,6.56,11.77,0.643,0.875,9.0,7.0
Alabama,2002,19.5,8.2,1.5,9.9,0.7,23.8,13.4,56.1,0.7,0.9,190.2,9.3,78.8,28.2,47.6,2.2,213.2,4.5,71.5,403.5,5.6,1.4,15.0,8.2,1.8,4.9,1.2,28.8,14.2,49.5,1.4,0.8,177.2,7.5,55.5,15.4,30.0,0.8,80.2,2.7,58.8,257.3,4.4,2.5,64.3,2.2,1.4,7.2,2.2,0.0,43.3,19.4,4.6,3.5,0.1,28.9,8.4,185.5,40.2,95.1,3.2,3.0,94.0,SEC (West),3.0,2.0,,15.4,28.2,11.0,9.0,,4.57,15.8,0.769,0.75,10.0,6.0
East Carolina,2002,18.9,9.5,2.0,7.4,0.8,34.2,16.7,48.8,1.8,1.3,214.8,4.7,37.2,27.9,36.6,1.7,124.0,3.4,70.8,338.8,4.8,2.6,21.5,10.1,1.2,10.3,0.9,30.3,16.3,53.8,0.8,1.9,238.6,7.0,67.0,33.3,45.4,1.8,207.1,4.6,75.8,445.7,5.9,1.8,77.3,1.8,1.4,7.1,4.1,0.0,77.3,18.9,6.3,2.8,0.1,32.4,11.4,264.8,42.4,94.4,3.0,2.8,46.0,CUSA,8.0,4.0,,33.3,27.9,,,,-1.4,-7.15,0.33299999999999996,0.5,4.0,4.0
Michigan,2002,20.1,11.0,0.9,8.2,0.8,36.3,19.9,54.9,0.5,1.6,232.8,5.0,38.3,27.8,38.8,1.9,148.4,3.8,75.2,381.2,5.1,1.3,18.4,9.8,1.2,7.4,0.8,33.8,18.2,53.6,1.2,1.3,224.5,5.8,45.8,20.4,35.8,1.2,123.2,3.4,69.6,347.7,5.0,2.0,50.0,1.8,0.9,6.1,2.5,0.0,50.8,20.7,5.7,3.3,0.0,30.6,9.3,236.7,41.6,95.6,3.5,3.3,31.0,Big Ten,3.0,2.0,,20.4,27.8,9.0,7.0,12.0,6.82,13.44,0.769,0.75,10.0,6.0
Tulane,2002,19.0,10.1,1.9,7.0,0.8,33.7,18.8,55.9,0.8,1.5,203.5,6.8,61.7,27.8,36.5,1.1,109.4,3.0,70.2,312.9,4.5,1.6,21.0,9.5,1.5,10.0,1.6,33.5,17.6,52.5,1.7,0.9,191.8,8.5,68.6,21.7,41.0,1.5,180.1,4.4,74.5,371.9,5.0,3.3,60.6,2.5,1.5,6.8,3.2,0.1,71.7,22.7,5.7,2.2,0.2,37.2,17.3,238.9,42.0,87.9,2.5,2.2,44.0,CUSA,5.0,4.0,,21.7,27.8,,,,-5.47,0.91,0.615,0.5,8.0,4.0
Utah State,2002,19.1,12.1,1.5,5.5,1.2,44.3,23.5,53.0,1.5,1.9,308.0,8.5,77.6,27.7,27.5,1.3,84.5,3.1,71.7,392.5,5.5,2.6,22.4,9.4,1.8,11.2,1.0,30.2,16.2,53.6,0.6,2.0,236.3,7.3,57.0,39.3,46.3,2.7,234.8,5.1,76.5,471.1,6.2,1.6,82.4,1.5,1.3,6.8,4.7,0.0,92.6,19.6,5.9,2.4,0.1,18.6,7.9,227.3,38.5,94.3,3.2,3.0,54.0,Ind,7.0,0.0,,39.3,27.7,,,,-3.34,-11.97,0.364,,4.0,0.0
Nevada,2002,23.8,13.8,2.7,7.4,0.7,39.8,24.3,61.2,1.4,2.3,296.3,6.9,57.7,27.6,35.0,1.3,137.8,3.9,74.8,434.2,5.8,2.1,19.7,9.9,1.4,8.3,0.8,29.8,16.3,54.5,0.8,1.6,241.6,9.9,96.3,30.9,37.7,2.1,178.0,4.7,67.5,419.6,6.2,1.6,58.8,1.4,0.8,5.4,3.3,0.0,76.4,22.9,5.3,2.3,0.0,10.9,4.9,214.9,40.3,92.1,3.2,2.9,110.0,WAC,7.0,4.0,,30.9,27.6,,,,-3.41,-6.33,0.41700000000000004,0.5,5.0,4.0
Nebraska,2002,18.7,4.6,1.2,12.9,0.9,16.8,7.5,44.7,0.9,0.9,104.4,6.1,56.0,27.4,51.7,2.1,268.7,5.2,68.5,373.1,5.4,1.7,19.4,9.4,1.4,8.6,0.6,32.8,16.5,50.3,0.9,0.9,215.3,6.4,48.3,23.9,39.2,1.8,146.6,3.7,72.0,361.9,5.0,1.5,80.0,1.4,1.1,6.8,3.4,0.0,76.5,22.3,5.4,3.6,0.4,59.3,16.3,225.4,42.1,97.9,3.4,3.4,12.0,Big 12 (North),7.0,5.0,,23.9,27.4,,8.0,10.0,2.45,4.09,0.5,0.375,7.0,3.0
Wake Forest,2002,21.1,7.2,1.2,12.8,0.8,20.9,11.3,54.0,0.5,0.6,166.9,5.9,52.6,27.4,55.2,2.5,241.2,4.4,76.2,408.1,5.4,1.2,20.6,10.6,1.0,9.0,1.6,31.8,18.6,58.6,1.0,1.7,232.0,5.2,44.5,25.2,38.3,1.3,158.2,4.1,70.1,390.2,5.6,2.6,63.0,2.1,1.3,6.8,2.9,0.0,51.8,17.7,4.7,3.2,0.1,28.5,9.0,189.1,40.3,92.5,3.1,2.8,6.0,ACC,6.0,5.0,,25.2,27.4,,,,2.89,4.81,0.5379999999999999,0.375,7.0,3.0
New Mexico State,2002,21.6,8.2,1.4,12.0,0.9,23.0,14.1,61.2,0.5,1.1,194.8,6.4,55.8,27.3,47.8,2.1,214.6,4.5,70.8,409.3,5.8,1.4,19.1,9.2,0.9,9.0,0.8,28.3,17.5,61.9,0.6,1.3,201.0,6.8,53.4,27.3,35.6,2.2,160.6,4.5,63.8,361.6,5.7,1.4,73.9,1.9,1.4,6.9,3.7,0.0,69.8,19.0,3.7,2.3,0.0,22.9,10.2,133.1,36.3,97.0,2.8,2.7,101.0,Sun Belt,5.0,1.0,,27.3,27.3,,,,-5.3,-5.05,0.583,0.833,7.0,5.0
Akron,2002,23.2,11.6,2.1,9.5,1.2,33.7,22.1,65.6,1.0,1.5,246.8,7.4,67.4,27.1,40.8,2.1,157.5,3.9,74.4,404.3,5.4,2.2,20.6,10.2,1.3,9.2,1.3,28.3,17.8,62.9,0.8,1.7,227.2,5.5,50.6,31.6,41.0,1.7,167.3,4.1,69.3,394.5,5.7,2.1,50.0,1.2,0.6,5.1,4.4,0.0,100.8,22.8,4.1,1.6,0.0,9.8,6.2,155.7,38.1,93.0,3.6,3.3,60.0,MAC (East),8.0,5.0,,31.6,27.1,,,,-4.92,-9.42,0.33299999999999996,0.375,4.0,3.0
Fresno State,2002,19.7,10.1,1.4,8.2,0.9,34.5,19.0,55.1,1.0,1.6,241.6,8.4,76.1,27.0,37.0,1.1,132.4,3.6,71.5,374.0,5.2,1.9,21.6,10.6,2.1,8.9,0.9,32.9,18.1,55.2,1.4,1.5,245.1,7.0,61.6,27.1,40.6,1.6,159.6,3.9,73.4,404.7,5.5,2.3,76.7,2.1,1.6,8.0,3.3,0.0,60.7,18.5,5.6,2.9,0.1,25.4,8.9,219.8,39.4,100.0,3.1,3.1,109.0,WAC,5.0,2.0,,27.1,27.0,,,,-2.12,0.67,0.643,0.75,9.0,6.0
Ole Miss,2002,21.0,12.8,1.8,6.3,0.7,37.4,21.8,58.2,1.2,1.6,264.4,5.6,47.7,27.0,31.8,1.5,94.3,3.0,69.2,358.7,5.2,1.8,17.9,8.3,1.2,8.5,0.8,26.8,13.9,51.9,1.4,1.3,187.3,7.6,64.6,25.5,39.8,1.4,160.0,4.0,66.7,347.3,5.2,2.2,75.0,1.5,1.2,6.5,3.8,0.0,70.0,18.2,5.5,2.9,0.1,33.2,11.3,229.4,42.0,100.0,3.1,3.1,98.0,SEC (West),6.0,5.0,,25.5,27.0,,21.0,,3.13,4.44,0.5379999999999999,0.375,7.0,3.0
Houston,2002,19.3,9.8,1.1,8.5,1.4,29.8,15.3,51.5,1.8,1.6,222.5,6.4,56.3,26.7,43.7,1.8,170.3,3.9,73.4,392.8,5.3,3.3,19.3,10.8,1.4,7.1,1.1,32.8,18.3,55.8,0.8,2.0,269.3,6.5,59.6,32.8,36.4,1.7,134.1,3.7,69.3,403.4,5.8,1.9,85.7,1.2,1.0,5.7,4.5,0.0,92.2,20.5,5.2,2.6,0.0,20.9,8.1,200.9,38.9,91.4,2.9,2.7,47.0,CUSA,7.0,5.0,,32.8,26.7,,,,-2.95,-7.7,0.41700000000000004,0.375,5.0,3.0
Louisiana Tech,2002,19.5,13.0,1.0,5.5,0.8,43.9,25.4,57.9,1.6,1.6,302.8,7.1,62.3,26.7,25.8,1.5,115.2,4.5,69.8,417.9,6.0,2.4,22.5,10.0,2.5,10.0,0.9,31.9,19.8,62.1,0.4,2.0,264.4,6.3,47.8,35.5,43.0,2.5,176.8,4.1,74.9,441.2,5.9,1.3,76.2,1.8,1.3,6.5,4.3,0.0,92.8,21.4,5.5,3.3,0.1,27.3,8.4,201.0,36.5,85.7,2.9,2.5,112.0,WAC,8.0,5.0,,35.5,26.7,,,,-2.8,-11.13,0.33299999999999996,0.375,4.0,3.0
Wisconsin,2002,20.0,7.1,2.2,10.6,0.6,23.0,12.2,53.1,0.6,1.1,164.5,5.8,45.3,26.6,46.1,2.1,190.2,4.1,69.1,354.7,5.1,1.2,18.0,9.3,1.0,7.7,0.9,30.9,16.9,54.9,1.6,1.6,224.2,7.6,65.0,23.0,36.9,1.0,148.7,4.0,67.7,372.9,5.5,2.5,65.2,1.6,1.1,6.3,3.1,0.0,60.9,19.4,5.5,3.1,0.1,34.8,11.3,198.6,36.1,97.7,3.1,3.1,36.0,Big Ten,6.0,6.0,,23.0,26.6,,19.0,25.0,4.77,8.55,0.5710000000000001,0.25,8.0,2.0
