school_name,year,first_down,first_down_pass,first_down_penalty,first_down_rush,fumbles_lost,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,penalty,penalty_yds,points,rush_att,rush_td,rush_yds,rush_yds_per_att,tot_plays,tot_yds,tot_yds_per_play,turnovers,opp_first_down,opp_first_down_pass,opp_first_down_penalty,opp_first_down_rush,opp_fumbles_lost,opp_pass_att,opp_pass_cmp,opp_pass_cmp_pct,opp_pass_int,opp_pass_td,opp_pass_yds,opp_penalty,opp_penalty_yds,opp_points,opp_rush_att,opp_rush_td,opp_rush_yds,opp_rush_yds_per_att,opp_tot_plays,opp_tot_yds,opp_tot_yds_per_play,opp_turnovers,fg_pct,fga,fgm,kick_points,kick_ret,kick_ret_td,kick_ret_yds,kick_ret_yds_per_ret,punt,punt_ret,punt_ret_td,punt_ret_yds,punt_ret_yds_per_ret,punt_yds,punt_yds_per_punt,xp_pct,xpa,xpm,Unnamed: 0,conf_abbr,losses,losses_conf,notes,opp_points_per_g,points_per_g,rank_final,rank_min,rank_pre,sos,srs,win_loss_pct,win_loss_pct_conf,wins,wins_conf
Texas Christian,2000,20.6,6.1,1.5,13.1,0.8,16.7,9.6,57.6,0.7,1.5,145.5,8.3,75.9,37.3,53.5,3.0,275.6,5.2,70.2,421.1,6.0,1.5,14.5,6.6,2.1,5.8,1.1,29.4,13.0,44.3,1.4,0.9,160.6,6.4,46.8,9.6,35.9,0.3,84.4,2.3,65.3,245.0,3.8,2.5,88.9,1.6,1.5,8.9,1.9,0.2,55.0,28.8,4.3,3.4,0.1,34.6,10.3,170.2,39.8,98.0,4.6,4.5,107.0,WAC,2.0,1.0,,11.2,35.9,21.0,9.0,20.0,-5.79,11.29,0.833,0.875,10.0,7.0
Northern Illinois,2000,23.2,9.2,2.5,11.5,0.7,24.9,13.5,54.4,1.0,1.2,199.7,5.8,52.9,37.2,49.0,3.2,228.1,4.7,73.9,427.8,5.8,1.7,19.1,9.6,1.5,7.9,1.4,31.1,18.5,59.6,1.1,1.7,210.1,6.9,65.7,25.5,36.7,1.6,150.7,4.1,67.8,360.8,5.3,2.5,84.2,1.7,1.5,8.6,3.6,0.0,75.1,20.7,4.1,2.9,0.1,47.1,16.2,154.5,37.8,95.9,4.5,4.3,73.0,MAC (West),5.0,3.0,,25.5,37.2,,,,-5.21,-0.39,0.545,0.5710000000000001,6.0,4.0
Toledo,2000,22.0,8.3,1.2,12.5,0.5,27.3,15.4,56.3,0.4,1.2,150.7,4.5,41.8,36.4,46.7,2.6,253.8,5.4,74.0,404.5,5.5,0.8,14.5,8.5,0.9,5.1,1.5,30.7,16.4,53.3,1.4,0.5,187.5,5.5,43.3,11.4,33.2,0.9,81.5,2.5,63.9,269.0,4.2,2.8,78.9,1.7,1.4,8.5,2.1,0.0,42.5,20.3,5.0,2.8,0.2,23.5,8.3,189.4,37.9,100.0,4.5,4.5,71.0,MAC (West),1.0,1.0,,11.4,36.4,,25.0,,-9.28,8.63,0.909,0.857,10.0,6.0
Clemson,2000,22.7,8.5,1.6,12.6,0.8,26.9,14.5,53.7,0.8,1.5,210.1,8.8,80.9,36.0,50.6,3.0,236.4,4.7,77.5,446.5,5.8,1.6,17.3,9.4,2.2,5.7,0.8,33.4,16.5,49.6,1.3,0.8,238.6,7.5,69.5,19.3,36.1,1.4,101.8,2.8,69.5,340.5,4.9,2.1,64.3,1.3,0.8,6.9,2.4,0.0,48.3,20.4,5.5,3.2,0.2,47.6,15.0,214.5,38.7,92.5,4.8,4.5,1.0,ACC,3.0,2.0,,21.1,34.7,16.0,5.0,17.0,2.04,11.54,0.75,0.75,9.0,6.0
Louisville,2000,20.2,12.2,1.6,6.4,1.3,35.4,21.3,60.2,1.1,2.5,256.5,11.6,101.6,35.3,37.2,1.8,134.3,3.6,72.5,390.8,5.4,2.4,18.3,9.0,2.5,6.8,1.0,36.1,18.5,51.4,2.5,1.5,224.3,7.5,65.4,22.4,35.9,1.1,79.9,2.2,72.0,304.2,4.2,3.5,68.8,1.5,1.0,7.1,2.8,0.0,73.6,26.1,5.1,3.5,0.0,29.2,8.2,200.8,39.4,100.0,4.1,4.1,46.0,CUSA,3.0,1.0,,22.3,33.8,,22.0,,-2.22,7.37,0.75,0.857,9.0,6.0
Air Force,2000,25.5,7.7,1.4,16.4,0.5,18.6,10.5,56.6,0.5,1.2,157.0,5.4,41.2,34.9,58.8,3.0,294.9,5.0,77.5,451.9,5.8,1.1,19.3,9.6,1.0,8.6,1.1,29.5,15.9,54.0,0.6,1.5,213.5,5.1,40.2,25.3,37.6,1.5,159.5,4.2,67.1,373.0,5.6,1.7,79.2,2.2,1.7,8.7,2.3,0.0,48.5,21.4,4.6,2.5,0.0,19.4,7.9,185.5,40.0,95.1,3.7,3.5,78.0,MWC,3.0,2.0,,26.0,35.1,,,,-4.33,2.84,0.75,0.7140000000000001,9.0,5.0
Michigan,2000,22.2,9.9,1.1,11.2,0.9,27.3,15.9,58.3,0.5,2.2,225.3,5.6,48.6,33.9,45.5,2.1,220.2,4.8,72.7,445.5,6.1,1.4,20.4,11.0,1.4,8.0,1.1,35.0,19.9,56.9,1.3,1.2,229.1,5.7,49.2,18.3,38.6,1.0,152.1,3.9,73.6,381.2,5.2,2.4,61.1,1.6,1.0,7.2,2.9,0.0,49.7,17.1,4.9,2.9,0.1,32.8,11.3,192.5,39.2,95.8,4.4,4.2,29.0,Big Ten,3.0,2.0,,19.1,33.7,11.0,3.0,6.0,2.93,12.93,0.75,0.75,9.0,6.0
Georgia Tech,2000,23.5,12.9,1.1,9.5,0.5,34.0,21.0,61.8,0.5,2.1,271.1,8.4,69.9,33.8,42.4,1.9,164.3,3.9,76.4,435.4,5.7,1.1,20.8,12.1,1.8,6.9,1.4,39.1,22.5,57.7,1.4,1.7,285.2,6.8,53.8,19.0,33.7,0.5,94.5,2.8,72.8,379.6,5.2,2.7,66.7,1.6,1.1,7.3,2.7,0.0,64.2,23.5,4.5,3.5,0.1,32.3,9.3,189.2,41.6,97.8,4.1,4.0,2.0,ACC,3.0,2.0,,19.8,32.2,17.0,15.0,,1.21,11.3,0.75,0.75,9.0,6.0
Oregon State,2000,21.5,9.5,1.9,10.2,0.8,29.1,14.1,48.4,0.6,1.5,225.4,8.8,81.0,32.6,45.2,2.4,186.1,4.1,74.3,411.5,5.5,1.5,17.8,9.8,3.0,5.0,0.9,33.5,16.7,50.0,2.0,1.0,221.3,6.8,64.2,18.5,35.0,0.8,93.1,2.7,68.5,314.4,4.6,2.9,82.4,1.5,1.3,7.7,2.8,0.0,58.3,20.7,6.0,3.3,0.0,26.4,8.1,237.2,39.5,97.7,4.0,3.9,85.0,Pac-10,1.0,1.0,,17.7,33.3,4.0,4.0,,3.83,17.33,0.917,0.875,11.0,7.0
Tennessee,2000,20.3,9.8,1.4,9.1,0.7,32.2,19.3,59.9,1.0,1.9,210.5,6.3,52.3,32.6,39.9,1.8,162.7,4.1,72.1,373.2,5.2,1.7,17.4,9.8,2.3,5.3,1.3,33.3,17.8,53.6,0.8,1.5,220.2,6.6,57.3,19.3,30.7,0.6,74.3,2.4,64.0,294.5,4.6,2.1,90.0,1.8,1.6,8.5,2.9,0.0,68.3,23.5,5.5,4.7,0.0,45.3,9.6,224.1,40.4,100.0,3.5,3.5,98.0,SEC (East),4.0,3.0,,20.6,31.7,,11.0,12.0,1.95,7.87,0.667,0.625,8.0,5.0
