,first_down,first_down_pass,first_down_penalty,first_down_rush,fumbles_lost,g,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,penalty,penalty_yds,points,ranker,rush_att,rush_td,rush_yds,rush_yds_per_att,school_name,tot_plays,tot_yds,tot_yds_per_play,turnovers,year
97,16.9,10.4,2.0,4.5,1.0,11,36.5,18.7,51.2,1.2,1.0,204.2,7.8,64.7,20.3,98,36.1,0.9,101.9,2.8,Purdue,72.6,306.1,4.2,2.2,2001
98,15.9,8.6,1.0,6.3,0.5,11,32.1,18.7,58.4,0.8,0.8,191.7,6.1,51.4,20.0,99,35.2,1.3,114.0,3.2,Texas A&M,67.3,305.7,4.5,1.4,2001
99,17.1,5.4,1.3,10.5,1.1,11,19.8,9.9,50.0,1.0,0.4,101.5,6.7,56.9,19.5,100,48.2,1.5,188.2,3.9,Notre Dame,68.0,289.7,4.3,2.1,2001
100,18.8,9.9,1.6,7.3,1.0,11,36.9,17.7,48.0,1.7,1.1,231.2,6.6,53.1,19.3,101,38.0,1.3,113.0,3.0,Duke,74.9,344.2,4.6,2.7,2001
101,18.9,10.5,1.5,6.9,0.7,11,39.7,21.3,53.5,2.0,1.2,214.7,6.6,54.0,18.6,102,37.2,0.7,95.7,2.6,Baylor,76.9,310.5,4.0,2.7,2001
102,18.9,9.7,2.5,6.7,0.6,11,37.0,18.4,49.6,1.4,0.9,202.7,6.2,42.5,18.6,103,34.9,1.2,113.6,3.3,Buffalo,71.9,316.4,4.4,2.0,2001
103,19.7,10.3,2.0,7.5,1.6,11,38.7,18.5,47.7,1.5,1.4,228.5,9.0,82.5,18.3,104,35.5,0.7,121.1,3.4,California,74.2,349.6,4.7,3.2,2001
104,17.5,6.3,2.1,9.1,1.3,10,22.4,9.8,43.8,1.2,0.8,137.5,3.9,34.1,18.3,105,46.5,1.2,181.8,3.9,Navy,68.9,319.3,4.6,2.5,2001
105,18.2,3.1,1.8,13.3,1.4,11,13.1,6.1,46.5,0.4,0.5,74.5,5.5,48.7,18.0,106,51.5,1.8,240.1,4.7,Ohio,64.6,314.5,4.9,1.7,2001
106,16.3,7.4,2.4,6.5,1.5,11,30.0,14.5,48.2,1.4,1.1,167.4,9.1,71.2,18.0,107,38.5,0.7,117.9,3.1,Temple,68.5,285.3,4.2,2.9,2001
107,16.8,9.4,1.2,6.3,0.6,11,36.7,18.4,50.0,1.3,1.4,191.9,6.5,55.5,17.9,108,33.9,0.7,108.9,3.2,Eastern Michigan,70.6,300.8,4.3,1.9,2001
108,17.5,8.5,1.2,7.8,0.9,11,32.3,17.0,52.7,1.5,1.2,214.9,9.5,89.7,17.8,109,36.1,0.9,128.6,3.6,Mississippi State,68.4,343.5,5.0,2.4,2001
109,15.7,7.9,2.5,5.3,0.8,11,34.2,15.4,44.9,1.5,0.9,168.8,6.8,59.1,17.5,110,33.1,0.9,77.5,2.3,Connecticut,67.3,246.3,3.7,2.4,2001
110,19.3,10.8,0.6,7.8,0.5,11,39.1,21.5,55.1,1.3,0.9,215.3,5.6,48.2,17.4,111,34.7,1.4,131.0,3.8,Tulsa,73.8,346.3,4.7,1.8,2001
111,18.8,11.2,1.8,5.8,1.1,11,41.3,22.8,55.3,1.3,1.4,249.2,8.4,67.7,17.3,112,29.8,1.0,93.4,3.1,Houston,71.1,342.5,4.8,2.4,2001
112,17.1,8.0,1.4,7.7,1.2,11,30.3,14.5,48.0,1.4,0.5,175.2,5.5,51.8,16.7,113,39.0,1.5,147.9,3.8,San Diego State,69.3,323.1,4.7,2.5,2001
113,15.0,5.7,1.9,7.4,0.9,11,26.8,12.0,44.7,1.4,0.9,152.7,7.0,63.5,16.5,114,39.8,0.6,117.1,2.9,Kansas,66.6,269.8,4.0,2.3,2001
114,15.1,5.5,1.5,8.0,0.9,11,25.0,11.4,45.5,1.4,0.8,136.8,6.4,56.3,16.1,115,38.8,1.0,146.4,3.8,Arkansas State,63.8,283.2,4.4,2.3,2001
115,14.3,7.8,2.4,4.1,0.9,11,31.9,16.1,50.4,1.3,0.6,171.1,6.9,57.5,13.5,116,28.9,0.9,73.6,2.5,Louisiana-Monroe,60.8,244.7,4.0,2.2,2001
116,13.2,5.2,1.8,6.2,1.9,11,25.6,11.6,45.4,1.9,0.8,137.1,9.8,72.9,10.8,117,41.3,0.3,104.5,2.5,Rutgers,66.9,241.6,3.6,3.8,2001
0,24.1,11.0,1.8,11.2,1.2,13,30.0,19.3,64.4,0.6,2.5,292.9,8.2,77.2,45.6,1,43.1,3.3,208.5,4.8,Boise State,73.1,501.5,6.9,1.8,2002
1,21.0,6.5,1.5,12.9,1.4,13,17.2,9.2,53.8,0.5,1.1,158.9,7.7,58.4,44.8,2,50.4,4.1,264.1,5.2,Kansas State,67.5,423.0,6.3,1.8,2002
2,24.6,10.6,1.3,12.8,0.6,12,33.2,18.9,57.0,0.9,2.3,229.8,6.3,56.8,40.8,3,41.7,2.8,219.1,5.3,Bowling Green State,74.8,448.9,6.0,1.5,2002
3,20.5,11.6,1.0,7.9,0.9,13,33.2,18.5,55.8,1.0,2.5,284.2,9.5,81.2,40.5,4,35.0,2.5,181.6,5.2,Miami (FL),68.2,465.8,6.8,1.9,2002
4,19.7,8.6,1.6,9.5,0.4,14,29.9,17.3,57.8,0.8,2.0,202.0,5.5,44.1,38.6,5,42.2,2.4,190.6,4.5,Oklahoma,72.1,392.6,5.4,1.2,2002
5,27.1,17.4,2.4,7.4,1.0,14,55.0,36.8,66.9,1.1,3.6,388.9,6.4,51.0,38.4,6,27.5,1.1,99.4,3.6,Texas Tech,82.5,488.2,5.9,2.1,2002
6,20.8,8.8,0.8,11.1,0.8,13,24.2,14.0,58.0,0.4,2.1,210.3,7.9,66.0,37.2,7,42.5,1.8,214.2,5.0,Iowa,66.7,424.5,6.4,1.2,2002
7,24.1,17.1,2.6,4.5,1.1,14,52.2,29.1,55.7,1.9,2.5,386.1,8.7,74.4,35.9,8,22.0,1.9,109.5,5.0,Hawaii,74.2,495.6,6.7,2.9,2002
8,24.1,14.3,2.2,7.5,0.6,13,38.0,24.1,63.4,0.8,2.5,306.8,7.0,58.5,35.8,9,39.6,1.9,142.5,3.6,USC,77.6,449.2,5.8,1.4,2002
9,19.2,11.4,1.3,6.4,0.7,12,35.7,19.2,53.7,0.8,2.6,247.6,7.6,69.7,35.6,10,32.7,1.2,108.0,3.3,California,68.3,355.6,5.2,1.5,2002
10,24.1,11.9,1.2,11.1,0.8,14,31.6,22.1,69.8,0.6,1.8,257.9,6.8,59.3,35.4,11,42.1,2.7,214.3,5.1,Toledo,73.8,472.2,6.4,1.4,2002
11,25.0,15.7,1.7,7.6,1.1,13,44.2,29.5,66.6,1.2,2.7,369.5,9.0,74.5,35.2,12,32.0,1.6,125.8,3.9,Marshall,76.2,495.3,6.5,2.2,2002
12,20.5,10.6,1.8,8.1,0.5,13,34.9,18.7,53.5,1.2,2.5,262.6,8.9,71.6,34.3,13,33.9,1.8,148.5,4.4,Oklahoma State,68.8,411.1,6.0,1.7,2002
13,21.3,8.8,1.3,11.2,0.5,13,27.0,15.2,56.4,0.8,1.3,195.1,4.9,42.0,34.3,14,40.5,2.8,228.6,5.7,Penn State,67.5,423.7,6.3,1.3,2002
14,22.3,3.3,1.5,17.5,0.8,13,11.8,5.2,43.5,0.5,0.9,90.4,4.2,33.9,33.8,15,60.5,3.2,307.8,5.1,Air Force,72.3,398.2,5.5,1.3,2002
15,20.3,10.2,1.4,8.8,0.5,13,31.1,18.5,59.4,0.9,2.0,250.1,7.2,61.5,33.8,16,39.3,1.8,135.5,3.4,Texas,70.4,385.6,5.5,1.4,2002
16,20.4,11.4,2.6,6.4,1.2,13,35.2,21.0,59.6,1.1,2.3,292.7,7.9,67.1,33.2,17,33.3,1.3,129.2,3.9,Washington State,68.5,421.9,6.2,2.2,2002
17,20.1,11.0,1.6,7.5,0.9,14,31.9,19.5,61.1,0.8,1.4,247.7,7.2,62.9,32.9,18,37.3,2.4,144.1,3.9,North Carolina State,69.2,391.8,5.7,1.7,2002
18,21.8,13.5,1.1,7.3,1.3,12,36.8,22.5,61.1,1.4,2.6,319.8,8.0,64.3,32.6,19,30.1,1.5,116.3,3.9,UCF,66.9,436.1,6.5,2.8,2002
19,20.4,12.4,1.6,6.4,1.4,14,39.9,21.9,54.8,1.1,2.2,303.9,8.1,75.3,32.3,20,34.9,1.4,89.0,2.5,Arizona State,74.8,392.9,5.3,2.6,2002
20,19.3,7.5,1.2,10.6,0.9,14,23.1,12.8,55.2,0.9,1.1,190.6,6.0,55.3,32.2,21,42.3,2.3,198.8,4.7,Maryland,65.4,389.4,6.0,1.8,2002
21,20.7,11.1,1.4,8.1,0.9,14,31.8,18.4,57.8,0.7,2.0,245.4,7.2,62.8,32.1,22,38.3,1.3,139.6,3.6,Georgia,70.1,384.9,5.5,1.6,2002
22,18.0,8.3,1.4,8.3,0.8,12,29.2,16.3,55.7,0.5,2.0,198.9,8.8,69.7,32.1,23,35.8,1.6,148.5,4.1,Kentucky,65.0,347.4,5.3,1.3,2002
23,17.8,9.4,1.5,7.0,0.6,13,31.7,16.5,51.9,0.8,2.0,227.6,8.5,71.2,32.1,24,36.6,1.6,145.6,4.0,Oregon,68.3,373.2,5.5,1.5,2002
24,22.5,13.2,1.3,8.0,0.6,12,37.2,23.2,62.3,1.1,2.1,277.6,5.6,50.8,32.0,25,37.6,1.9,127.7,3.4,Miami (OH),74.8,405.3,5.4,1.7,2002
25,20.4,11.2,1.7,7.5,0.8,13,36.0,17.0,47.2,1.1,2.0,262.6,9.7,100.2,31.8,26,38.6,1.6,148.7,3.9,Oregon State,74.6,411.3,5.5,1.9,2002
26,18.7,7.4,1.3,9.9,1.1,12,22.1,11.3,50.9,0.6,1.3,175.4,5.2,50.5,31.3,27,45.1,2.0,200.8,4.5,Northern Illinois,67.2,376.2,5.6,1.7,2002
27,19.3,9.8,1.8,7.7,0.7,12,32.7,19.3,59.2,1.0,1.8,222.6,6.3,49.9,31.1,28,37.5,1.8,136.6,3.6,Connecticut,70.2,359.2,5.1,1.7,2002
28,19.5,10.8,1.4,7.3,0.9,11,38.8,21.9,56.4,0.5,1.8,252.0,11.6,97.8,30.8,29,36.6,1.5,134.6,3.7,South Florida,75.5,386.6,5.1,1.4,2002
29,21.4,9.3,1.9,10.2,0.8,14,29.9,15.5,51.8,0.7,1.9,211.1,7.8,66.8,30.6,30,40.1,1.4,187.0,4.7,Florida State,70.1,398.1,5.7,1.5,2002
30,19.6,7.1,1.9,10.6,1.3,14,19.4,12.0,61.8,0.8,1.0,159.2,6.3,53.1,30.6,31,47.1,2.5,212.4,4.5,Virginia Tech,66.5,371.6,5.6,2.1,2002
